ID	Team	Country	NameF	NameL	Weight	Height	DOB	Hometown	Prov	Pos	Age	HeightFt	HtIn	BMI
1	Women	Canada	Meghan	Agosta	148	5'7	2/12/1987	Ruthven	Ont.	Forward	34	5.583333333	67	23
2	Women	Canada	Rebecca	Johnston	148	5'9	9/24/1989	Sudbury	Ont.	Forward	32	5.75	69	22
3	Women	Canada	Laura	Stacey	156	5'10	5/5/1994	Kleinburg	Ont.	Forward	27	5.833333333	70	22
4	Women	Canada	Jennifer	Wakefield	172	5'10	6/15/1989	Pickering	Ont.	Forward	32	5.833333333	70	25
5	Women	Canada	Jillian	Saulnier	144	5'5	3/7/1992	Halifax	N.S.	Forward	29	5.416666667	65	24
6	Women	Canada	Mélodie	Daoust	159	5'6	1/7/1992	Valleyfield	Que.	Forward	29	5.5	66	26
7	Women	Canada	Bailey	Bram	150	5'8	9/5/1990	St. Anne	Man.	Forward	31	5.666666667	68	23
8	Women	Canada	Brianne	Jenner	156	5'9	5/4/1991	Oakville	Ont.	Forward	30	5.75	69	23
9	Women	Canada	Sarah	Nurse	140	5'8	1/4/1995	Hamilton	Ont.	Forward	26	5.666666667	68	21
10	Women	Canada	Haley	Irwin	170	5'7	6/6/1988	Thunder Bay	Ont.	Forward	33	5.583333333	67	27
11	Women	Canada	Natalie	Spooner	180	5'10	10/17/1990	Scarborough	Ont.	Forward	31	5.833333333	70	26
12	Women	Canada	Emily	Clark	130	5'7	11/28/1995	Saskatoon	Sask.	Forward	25	5.583333333	67	20
13	Women	Canada	Marie-Philip	Poulin	160	5'7	3/28/1991	Beauceville	Que.	Forward	30	5.583333333	67	25
14	Women	Canada	Blayre	Turnbull	155	5'7	7/15/1993	Stellarton	N.S.	Forward	28	5.583333333	67	24
15	Women	Canada	Jocelyne	Larocque	139	5'6	5/19/1988	Ste. Anne	Man.	Defence	33	5.5	66	22
16	Women	Canada	Brigette	Lacquette	180	5'6	10/11/1992	Mallard	Man.	Defence	29	5.5	66	29
17	Women	Canada	Lauriane	Rougeau	167	5'8	4/12/1990	Beaconsfield	Que.	Defence	31	5.666666667	68	25
18	Women	Canada	Laura	Fortino	137	5'4	1/30/1991	Hamilton	Ont.	Defence	30	5.333333333	64	24
19	Women	Canada	Meaghan	Mikkelson	139	5'9	1/4/1985	St. Albert	Alta.	Defence	36	5.75	69	21
20	Women	Canada	Renata	Fast	144	5'6	10/6/1994	Burlington	Ont.	Defence	27	5.5	66	23
21	Women	Canada	Shannon	Szabados	146	5'8	8/6/1986	Edmonton	Alta.	Goalie	35	5.666666667	68	22
22	Women	Canada	Geneviève	Lacasse	136	5'8	5/5/1989	Kingston	Ont.	Goalie	32	5.666666667	68	21
23	Women	Canada	Ann-Renée	Desbiens	160	5'9	4/10/1994	La Malbaie	Que.	Goalie	27	5.75	69	24
49	Women	USA	Cayla	Barnes	145	5'1	1/7/1999	Eastvale	Calif.	Defence	22	5.083333333	61	27
50	Women	USA	Kacey	Bellamy	145	5'7	4/22/1987	Westfield	Mass.	Defence	34	5.583333333	67	23
51	Women	USA	Hannah	Brandt	150	5'6	11/27/1993	Vadnais Heights	Minn.	Forward	27	5.5	66	24
52	Women	USA	Dani	Cameranesi	148	5'5	6/30/1995	Plymouth	Minn.	Forward	26	5.416666667	65	25
53	Women	USA	Kendall	Coyne	123	5'2	5/25/1992	Palos Heights	Ill.	Forward	29	5.166666667	62	22
54	Women	USA	Brianna	Decker	150	5'4	5/13/1991	Dousman	Wis.	Forward	30	5.333333333	64	26
55	Women	USA	Meghan	Duggan	164	5'10	9/3/1987	Danvers	Mass.	Forward	34	5.833333333	70	24
